"A Foster",,,,
"AL Bailey",,,,
"Adrian Oliver",,,,
"Alan Tetlow",,,,
"B Clements",,,,
"B Sutton",,,,
"BR Clements",,,,
"Barry Harding-Rathbone","Q75975906","2019 United Kingdom general election","Poole","Green Party of England and Wales"
"Brian S Sherriff",,,,
"DA Bell",,,,
"Darren Brown",,,,
"David A Sutton",,,,
"David Holmes",,,,
"David Watt",,,,
"David Young","Q5241317","1970 United Kingdom general election","Bath","Labour Party"
"Frederick Charles Reeves",,,,
"GW Hobbs",,,,
"George Pitt Rose",,,,
"Haydn R White",,,,
"Helen Rosser",,,,
"Henry Toch",,,,
"Herbert Charles Richard Ballam",,,,
"Ian Northover",,,,
"Ian S Campbell",,,,
"Jason Sanderson",,,,
"Jennifer Rosta",,,,
"John Barnes",,,,
"John Bass",,,,
"John C Holland",,,,
"John Irving",,,,
"John Riddington",,,,
"John Savage",,,,
"Katie Taylor",,,,
"Leonard Joseph Matchan",,,,
"M Steen",,,,
"MV Castle",,,,
"Mark Howell",,,,
"Marty Caine",,,,
"Michael Shutler",,,,
"Mike Plummer",,,,
"Montague Merryweather Turner",,,,
"Nick Wellstead",,,,
"Nick Westbrook",,,,
"Peter Pirnie",,,,
"Philip Eades",,,,
"Philip Tyler",,,,
"Phillip Eades",,,,
"Robert Whitley",,,,
"Stephen Lewin",,,,
"Sue Aitkenhead","Q76130926","2019 United Kingdom general election","Poole","Labour Co-operative"
"T Bonar",,,,
"Thomas Chatfield Clarke",,,,
"Victoria Collins","Q76738170","2019 United Kingdom general election","Poole","Liberal Democrats"
"William Ridgway",,,,
"William Taylor Haly",,,,
